date,time,temp_c,air,light,soil
21/04/2021,19:17:07,24.44,44.60,58.40,55.80
21/04/2021,19:17:17,24.28,44.80,54.00,55.00
21/04/2021,19:19:59,24.22,44.40,58.40,55.80
21/04/2021,19:20:09,24.34,44.80,53.80,55.40
21/04/2021,19:21:29,24.18,45.00,54.20,55.80
21/04/2021,19:21:39,24.38,45.80,50.00,56.00
21/04/2021,19:21:49,24.30,46.00,50.00,55.60
21/04/2021,19:21:59,24.38,45.60,49.60,56.00
21/04/2021,19:22:09,24.46,45.20,49.20,55.40
21/04/2021,19:22:19,24.44,45.20,49.60,56.00
21/04/2021,19:22:29,24.36,45.00,49.20,55.40
21/04/2021,19:22:39,24.28,45.00,49.00,55.60
21/04/2021,19:22:49,24.38,45.00,48.80,55.80
21/04/2021,19:22:59,24.36,45.00,48.00,55.60
21/04/2021,19:23:09,24.42,45.00,47.80,56.00
21/04/2021,19:23:19,24.42,45.00,47.60,56.00
21/04/2021,19:23:29,24.36,45.00,46.60,55.60
21/04/2021,19:23:40,24.32,45.00,45.60,55.60
21/04/2021,19:23:50,24.32,45.00,45.00,56.00
21/04/2021,19:24:00,24.38,45.00,44.60,55.60
21/04/2021,19:24:10,24.36,45.00,43.80,55.60
21/04/2021,19:24:20,24.42,45.00,43.00,55.80
21/04/2021,19:24:30,24.40,44.80,42.60,55.80
21/04/2021,19:24:40,24.26,44.40,42.00,56.00
21/04/2021,19:24:50,24.30,45.00,41.20,56.00
21/04/2021,19:25:00,24.36,45.00,41.20,55.80
21/04/2021,19:25:10,24.34,44.80,40.40,55.60
21/04/2021,19:25:20,24.40,45.00,39.80,55.80
21/04/2021,19:25:30,24.28,45.00,39.80,55.60
21/04/2021,19:25:40,24.40,45.00,39.00,56.00
21/04/2021,19:25:51,24.44,45.00,38.80,56.00
21/04/2021,19:26:01,24.28,45.00,38.60,55.80
21/04/2021,19:26:11,24.36,45.00,38.60,55.80
21/04/2021,19:26:21,24.32,45.00,37.80,55.80
21/04/2021,19:26:31,24.24,45.00,37.80,55.80
21/04/2021,19:26:41,24.22,45.00,37.80,56.00
21/04/2021,19:26:51,24.34,45.00,37.60,55.80
21/04/2021,19:27:01,24.36,45.00,37.40,56.00
21/04/2021,19:27:11,24.32,45.00,37.20,55.60
21/04/2021,19:27:21,24.28,45.20,36.80,55.80
21/04/2021,19:27:31,24.38,45.40,36.80,56.00
21/04/2021,19:27:41,24.38,45.00,36.20,55.80
21/04/2021,19:27:51,24.38,45.20,36.40,55.60
21/04/2021,19:28:01,24.34,45.20,36.20,55.80
21/04/2021,19:28:12,24.28,45.40,35.80,55.60
21/04/2021,19:28:22,24.26,45.00,36.00,55.80
21/04/2021,19:28:32,24.38,45.00,35.80,55.80
21/04/2021,19:28:42,24.40,45.00,35.80,56.00
21/04/2021,19:28:52,24.18,45.00,36.00,56.00
21/04/2021,19:29:02,24.34,45.00,35.40,56.00
21/04/2021,19:29:12,24.30,45.00,36.40,56.00
21/04/2021,19:29:22,24.36,45.00,35.80,55.80
21/04/2021,19:29:32,24.32,45.00,36.60,56.00
21/04/2021,19:29:42,24.32,45.00,33.40,55.40
21/04/2021,19:29:52,24.36,45.00,23.40,55.60
21/04/2021,19:30:02,24.30,44.20,27.00,56.60
22/04/2021,08:53:29,24.72,45.40,48.40,51.00
22/04/2021,08:53:39,24.66,45.40,42.60,51.00
22/04/2021,08:53:49,24.56,45.00,40.80,51.00
22/04/2021,08:54:00,24.80,45.00,39.60,51.00
22/04/2021,08:54:10,24.58,45.00,38.60,51.00
22/04/2021,08:54:20,24.76,45.00,38.00,51.00
22/04/2021,08:54:30,24.68,45.00,37.00,51.00
22/04/2021,08:54:40,24.74,45.00,36.20,51.00
22/04/2021,08:54:50,24.62,45.00,35.20,51.00
22/04/2021,08:55:00,24.70,45.00,34.60,51.00
22/04/2021,08:55:10,24.80,44.40,37.60,51.00
22/04/2021,08:55:20,24.66,45.00,32.80,51.00
22/04/2021,08:55:30,24.66,44.60,35.60,50.60
22/04/2021,08:55:40,24.68,44.80,31.60,51.00
22/04/2021,08:55:50,24.80,44.20,35.00,50.80
22/04/2021,08:56:00,24.74,44.80,31.00,51.00
22/04/2021,09:17:20,24.98,44.40,92.80,51.00
22/04/2021,09:17:30,24.88,44.80,90.80,51.00
22/04/2021,09:17:40,24.72,45.00,91.80,51.00
22/04/2021,09:17:50,24.84,44.40,92.60,51.00
22/04/2021,09:18:00,24.92,44.20,93.40,51.60
22/04/2021,09:18:10,24.96,44.20,93.60,51.60
22/04/2021,09:18:20,24.94,44.00,93.20,51.80
22/04/2021,09:18:30,24.92,44.00,93.20,51.40
22/04/2021,09:18:40,24.92,44.00,92.40,51.80
22/04/2021,09:18:50,25.08,44.00,92.20,51.60
22/04/2021,09:19:00,25.00,44.00,92.00,51.80
22/04/2021,09:19:10,25.04,44.00,91.20,51.60
22/04/2021,09:19:20,25.22,44.00,89.80,51.60
22/04/2021,09:19:31,25.10,44.00,87.80,52.00
22/04/2021,09:19:41,25.26,44.00,84.60,52.00
22/04/2021,09:19:51,25.08,44.00,80.60,51.60
22/04/2021,09:20:01,25.26,43.80,76.20,51.60
22/04/2021,09:20:11,25.32,43.60,73.00,51.60
22/04/2021,09:20:21,25.16,43.80,70.40,51.40
22/04/2021,09:20:31,25.12,43.80,68.20,51.60
22/04/2021,09:20:41,25.18,43.40,66.60,51.40
22/04/2021,09:20:51,25.20,43.00,64.60,51.60
22/04/2021,09:21:01,25.24,43.00,62.60,51.40
22/04/2021,09:21:11,25.30,43.00,60.80,51.40
22/04/2021,09:21:21,25.38,43.00,58.80,51.40
22/04/2021,09:21:31,25.22,43.00,57.80,51.00
22/04/2021,09:21:41,25.28,43.00,56.80,51.20
22/04/2021,09:21:52,25.22,43.60,56.60,51.00
22/04/2021,09:22:02,25.10,43.40,57.00,51.40
22/04/2021,09:22:12,25.32,43.00,57.60,51.20
22/04/2021,09:22:22,25.62,43.00,58.40,51.40
22/04/2021,09:22:32,25.40,43.00,59.40,51.40
22/04/2021,09:22:42,25.56,43.00,60.60,52.00
22/04/2021,09:22:52,25.34,43.00,61.60,51.80
22/04/2021,09:23:02,25.30,43.00,62.40,51.60
22/04/2021,09:23:12,25.42,43.00,63.60,51.40
22/04/2021,09:23:22,25.40,43.00,64.80,51.40
22/04/2021,09:23:32,25.44,43.00,66.80,51.20
22/04/2021,09:23:42,25.60,43.00,68.20,51.40
22/04/2021,09:23:52,25.48,43.00,69.80,51.40
22/04/2021,09:24:03,25.46,43.00,71.60,51.80
22/04/2021,09:24:13,25.44,43.00,73.80,51.60
22/04/2021,09:24:23,25.48,43.00,76.60,52.00
22/04/2021,09:24:33,25.54,43.00,79.60,52.00
22/04/2021,09:24:43,25.62,43.00,82.20,52.00
22/04/2021,09:24:53,25.62,43.00,85.40,52.00
22/04/2021,09:25:03,25.54,43.00,88.40,52.00
22/04/2021,09:25:13,25.52,43.00,91.40,52.00
22/04/2021,09:25:23,25.66,43.00,93.80,52.00
22/04/2021,09:25:33,25.40,42.80,95.00,52.00
22/04/2021,09:25:43,25.60,42.40,95.20,52.00
22/04/2021,09:25:53,25.58,42.80,95.80,52.00
22/04/2021,09:26:03,25.48,43.00,96.00,52.00
22/04/2021,09:26:13,25.60,43.00,96.00,52.00
22/04/2021,09:26:24,25.58,43.00,96.00,52.00
22/04/2021,09:26:34,25.66,43.00,96.00,52.00
22/04/2021,09:26:44,25.64,42.80,96.00,52.00
22/04/2021,09:26:54,25.58,42.80,96.00,52.00
22/04/2021,09:27:04,25.48,42.60,96.00,52.00
22/04/2021,09:27:14,25.66,42.40,96.00,52.00
22/04/2021,09:27:24,25.66,42.00,96.00,52.00
22/04/2021,09:27:34,25.34,42.00,96.00,52.00
22/04/2021,09:27:44,25.48,42.00,95.80,52.00
22/04/2021,09:27:54,25.46,42.00,95.60,52.00
22/04/2021,09:28:04,25.58,42.00,95.00,52.00
22/04/2021,09:28:14,25.74,42.20,94.60,52.00
22/04/2021,09:28:24,25.54,42.00,93.60,52.00
22/04/2021,09:28:34,25.54,42.00,91.80,52.00
22/04/2021,09:28:45,25.58,42.20,90.80,52.00
22/04/2021,09:28:55,25.56,42.00,90.40,52.00
22/04/2021,09:29:05,25.78,42.00,91.60,52.00
22/04/2021,09:29:15,25.54,42.00,93.00,52.00
22/04/2021,09:29:25,25.42,42.00,94.60,52.00
22/04/2021,09:29:35,25.46,42.00,95.20,52.00
22/04/2021,09:29:45,25.62,42.20,95.80,52.00
22/04/2021,09:29:55,25.42,42.80,96.00,52.00
22/04/2021,09:30:05,25.66,43.00,96.00,52.00
22/04/2021,09:30:15,25.68,43.20,96.00,52.00
22/04/2021,09:30:25,25.60,42.80,96.00,52.00
22/04/2021,09:30:35,25.70,42.80,96.40,52.00
22/04/2021,09:30:45,25.76,42.20,96.60,52.00
22/04/2021,09:30:55,25.52,42.00,96.80,52.00
22/04/2021,09:31:06,25.62,42.00,96.80,52.00
22/04/2021,09:31:16,25.60,42.00,96.80,52.00
22/04/2021,09:31:26,25.62,42.00,96.80,52.00
22/04/2021,09:31:36,25.54,42.00,96.80,52.00
22/04/2021,09:31:46,25.80,42.40,96.80,52.00
22/04/2021,09:31:56,25.68,42.20,97.00,52.00
22/04/2021,09:32:06,25.66,42.00,97.00,52.00
22/04/2021,09:32:16,25.62,42.00,96.60,52.00
22/04/2021,09:32:26,25.52,42.00,97.00,52.00
22/04/2021,09:32:36,25.62,42.00,97.00,52.00
22/04/2021,09:32:46,25.64,42.00,97.00,52.00
22/04/2021,09:32:56,25.62,42.00,96.80,52.00
22/04/2021,09:33:06,25.50,42.00,96.80,52.00
22/04/2021,09:33:16,25.60,42.20,96.80,52.00
22/04/2021,09:33:27,25.52,42.00,96.80,52.00
22/04/2021,09:33:37,25.54,42.00,97.00,52.00
22/04/2021,09:33:47,25.48,42.00,96.80,52.00
22/04/2021,09:33:57,25.54,42.00,96.80,52.00
22/04/2021,09:34:07,25.66,42.00,96.60,52.00
22/04/2021,09:34:17,25.52,43.00,96.40,52.00
22/04/2021,09:34:27,25.38,43.00,97.00,52.00
22/04/2021,09:34:37,25.46,43.00,96.60,52.00
22/04/2021,09:34:47,25.30,43.00,96.80,52.00
22/04/2021,09:34:57,25.68,43.00,96.80,52.00
22/04/2021,09:35:07,25.46,43.00,97.00,52.00
22/04/2021,09:35:17,25.40,43.00,97.00,52.00
22/04/2021,09:35:27,25.30,43.00,97.00,52.00
22/04/2021,09:35:37,25.30,43.00,96.60,52.00
22/04/2021,09:35:48,25.44,43.00,97.00,51.80
22/04/2021,09:36:47,25.38,42.80,96.00,51.80
22/04/2021,09:36:57,25.12,42.80,96.00,52.00
22/04/2021,09:37:07,25.34,43.00,96.20,51.80
22/04/2021,09:37:17,25.12,43.00,96.00,52.00
22/04/2021,09:37:27,25.12,43.00,96.00,51.80
22/04/2021,09:37:37,25.22,43.00,96.00,52.00
22/04/2021,09:37:47,25.26,43.20,96.20,52.00
22/04/2021,09:37:57,25.18,43.20,96.20,51.80
22/04/2021,09:38:07,25.32,43.80,96.40,52.00
22/04/2021,09:38:17,25.30,43.80,96.60,52.00
22/04/2021,09:38:27,25.34,43.40,96.40,52.00
22/04/2021,09:38:37,25.30,43.00,96.60,51.60
22/04/2021,09:38:48,25.22,43.00,96.60,52.00
22/04/2021,09:38:58,25.30,43.00,97.00,51.60
22/04/2021,09:39:08,25.36,43.00,96.40,52.00
22/04/2021,09:39:18,25.18,43.00,96.20,51.80
22/04/2021,09:39:28,25.28,43.20,96.80,51.60
22/04/2021,09:39:38,25.14,44.00,96.00,52.00
22/04/2021,09:39:48,25.10,44.00,96.20,51.80
22/04/2021,09:39:58,25.22,44.00,96.00,52.00
22/04/2021,09:40:08,24.96,43.60,96.00,51.80
22/04/2021,09:40:18,25.16,44.00,96.00,52.00
22/04/2021,09:40:28,25.12,43.80,95.60,51.60
22/04/2021,09:40:38,25.08,44.00,95.20,52.00
22/04/2021,09:40:48,25.26,44.00,95.00,51.40
